option,type,file
IP6_NF_MATCH_AH,tristate,net/ipv6/netfilter/Kconfig
CRYPTO_MD5_SPARC64,tristate,crypto/Kconfig
NLS_CODEPAGE_861,tristate,fs/nls/Kconfig
RADIO_MIROPCM20,tristate,drivers/media/radio/Kconfig
COMMON_CLK_SCMI,tristate,drivers/clk/Kconfig
MTD_SPI_NAND,tristate,drivers/mtd/nand/spi/Kconfig
RING_BUFFER,bool,kernel/trace/Kconfig
HARDENED_USERCOPY_FALLBACK,bool,security/Kconfig
SND_SOC_WM8804,tristate,sound/soc/codecs/Kconfig
NF_CONNTRACK_H323,tristate,net/netfilter/Kconfig
HAVE_ARCH_SECCOMP_FILTER,bool,arch/Kconfig
IP6_NF_SECURITY,tristate,net/ipv6/netfilter/Kconfig
SND_PROC_FS,bool,sound/core/Kconfig
VFIO_PCI_MMAP,bool,drivers/vfio/pci/Kconfig
DMA_API_DEBUG,bool,kernel/dma/Kconfig
SCSI_DMA,bool,drivers/scsi/Kconfig
IQS624_POS,tristate,drivers/iio/position/Kconfig
SND_SOC_ROCKCHIP_PDM,tristate,sound/soc/rockchip/Kconfig
NETFILTER_FAMILY_BRIDGE,bool,net/netfilter/Kconfig
TWL6040_CORE,bool,drivers/mfd/Kconfig
SENSORS_ARM_SCMI,tristate,drivers/hwmon/Kconfig
NUMA_EMU,bool,arch/x86/Kconfig
VFIO_MDEV_DEVICE,tristate,drivers/vfio/mdev/Kconfig
INTEL_IDLE,bool,drivers/idle/Kconfig
TOUCHSCREEN_IQS5XX,tristate,drivers/input/touchscreen/Kconfig
ARM_ETHER1,tristate,drivers/net/ethernet/i825xx/Kconfig
SPI_QCOM_QSPI,tristate,drivers/spi/Kconfig
TCP_MD5SIG,bool,net/ipv4/Kconfig
SERIAL_PIC32_CONSOLE,bool,drivers/tty/serial/Kconfig
KERNEL_GZIP,bool,init/Kconfig
HID_GT683R,tristate,drivers/hid/Kconfig
CC_HAS_SANCOV_TRACE_PC,bool,lib/Kconfig.debug
DEFAULT_INIT,string,init/Kconfig
MT7615_COMMON,tristate,drivers/net/wireless/mediatek/mt76/mt7615/Kconfig
ACORN_PARTITION_EESOX,bool,block/partitions/Kconfig
MICROCODE,bool,arch/x86/Kconfig
TB10X_IRQC,bool,drivers/irqchip/Kconfig
PINCTRL_IMX7D,bool,drivers/pinctrl/freescale/Kconfig
SYS_SUPPORTS_EM_STI,bool,drivers/clocksource/Kconfig
ATM_ENI,tristate,drivers/atm/Kconfig
RTC_DRV_ALPHA,bool,drivers/rtc/Kconfig
SOUNDWIRE,tristate,drivers/soundwire/Kconfig
REGULATOR_AB8500,bool,drivers/regulator/Kconfig
SERIAL_SUNZILOG_CONSOLE,bool,drivers/tty/serial/Kconfig
ATARI_SCSI,tristate,drivers/scsi/Kconfig
MMA7455,tristate,drivers/iio/accel/Kconfig
MV_XOR_V2,bool,drivers/dma/Kconfig
PHY_MMP3_USB,tristate,drivers/phy/marvell/Kconfig
VIDEO_EM28XX_V4L2,tristate,drivers/media/usb/em28xx/Kconfig
PHY_BERLIN_USB,tristate,drivers/phy/marvell/Kconfig
SND_SOC_ML26124,tristate,sound/soc/codecs/Kconfig
BLK_DEV_PIIX,tristate,drivers/ide/Kconfig
HISI_THERMAL,tristate,drivers/thermal/Kconfig
TI_DAC5571,tristate,drivers/iio/dac/Kconfig
VIDEO_CS3308,tristate,drivers/media/i2c/Kconfig
MMC_SH_MMCIF,tristate,drivers/mmc/host/Kconfig
SND_SOC_TI_UDMA_PCM,tristate,sound/soc/ti/Kconfig
IP_SET_HASH_IPMARK,tristate,net/netfilter/ipset/Kconfig
VIDEO_ADV7511,tristate,drivers/media/i2c/Kconfig
ARCH_OPTIONAL_KERNEL_RWX_DEFAULT,bool,arch/Kconfig
ARCH_HAS_DEBUG_VM_PGTABLE,bool,lib/Kconfig.debug
MAX1118,tristate,drivers/iio/adc/Kconfig
TOUCHSCREEN_INEXIO,tristate,drivers/input/touchscreen/Kconfig
VIDEO_VIU,tristate,drivers/media/platform/Kconfig
RTLBTCOEXIST,tristate,drivers/net/wireless/realtek/rtlwifi/Kconfig
BATMAN_ADV_NC,bool,net/batman-adv/Kconfig
NFT_NAT,tristate,net/netfilter/Kconfig
INTEL_TH_DEBUG,bool,drivers/hwtracing/intel_th/Kconfig
COMMON_CLK_HI3670,bool,drivers/clk/hisilicon/Kconfig
DW_WATCHDOG,tristate,drivers/watchdog/Kconfig
RTC_DRV_WM831X,tristate,drivers/rtc/Kconfig
ZRAM_WRITEBACK,bool,drivers/block/zram/Kconfig
NEED_PER_CPU_EMBED_FIRST_CHUNK,bool,arch/x86/Kconfig
TOUCHSCREEN_WM9705,bool,drivers/input/touchscreen/Kconfig
INPUT_KEYBOARD,bool,drivers/input/keyboard/Kconfig
SND_SOC_JZ4770_CODEC,tristate,sound/soc/codecs/Kconfig
FB_FFB,bool,drivers/video/fbdev/Kconfig
BAREUDP,tristate,drivers/net/Kconfig
DRM_PANEL_SAMSUNG_S6E3HA2,tristate,drivers/gpu/drm/panel/Kconfig
SENSORS_ABITUGURU,tristate,drivers/hwmon/Kconfig
SERIAL_8250_ACORN,tristate,drivers/tty/serial/8250/Kconfig
SERIO_SUN4I_PS2,tristate,drivers/input/serio/Kconfig
ARCH_SUPPORTS_INT128,bool,init/Kconfig
SND_SOC_FSL_RPMSG,tristate,sound/soc/fsl/Kconfig
VIDEO_S3C_CAMIF,tristate,drivers/media/platform/Kconfig
DRM_KMB_DISPLAY,tristate,drivers/gpu/drm/kmb/Kconfig
IP_NF_TARGET_SYNPROXY,tristate,net/ipv4/netfilter/Kconfig
MEMORY_ISOLATION,bool,mm/Kconfig
SLUB_CPU_PARTIAL,bool,init/Kconfig
USB_C67X00_HCD,tristate,drivers/usb/host/Kconfig
TI_EDMA,tristate,drivers/dma/ti/Kconfig
DRM_MEDIATEK_HDMI,tristate,drivers/gpu/drm/mediatek/Kconfig
SND_MCHP_SOC_I2S_MCC,tristate,sound/soc/atmel/Kconfig
RFS_ACCEL,bool,net/Kconfig
CLK_RK3288,bool,drivers/clk/rockchip/Kconfig
COMEDI_TEST,tristate,drivers/comedi/Kconfig
SUN50I_A100_CCU,bool,drivers/clk/sunxi-ng/Kconfig
SERIAL_8250_RT288X,bool,drivers/tty/serial/8250/Kconfig
IP_NF_TARGET_REDIRECT,tristate,net/ipv4/netfilter/Kconfig
